ぐ,구,かぐ,가구
ば,바,かばん,가방
ぞ,조,かぞく,가족
り,리,かわ,강
い,이,いぬ,개
ギャ,갸,ギャラリー,갤러리
げ,게,げんき,"건강, 활기"
ゲ,게,ゲーム,게임
ケ,케,ゲーム,게임
づ,즈,つづく,계속되다
に,니,にく,고기
ね,네,ねこ,고양이
にゃ,냐,こんにゃく,곤약
ゴ,고,ゴルフ,골프
ボ,보,ボール,공
ギョ,교,ギョーザ,"교자, 만두"
キョ,쿄,キョウト,교토
ル,루,ルール,규칙
グ,구,グループ,그룹
ぎょ,교,きんぎょ,금붕어
ギ,기,ギター,기타
の,노,のり,김
は,하,はな,꽃
わ,와,わたし,"나, 저"
き,키,き,나무
ナ,나,ナイフ,나이프
ネ,네,ネクタイ,넥타이
ノ,노,ノート,"노트, 공책"
ニョ,뇨,ニョッキ,뇨키 (음식)
ヌ,누,ヌードル,"누들, 국수"
め,메,め,눈
ゆ,유,ゆき,눈
ニ,니,ニュース,뉴스
ニュ,뉴,ニューヨーク,뉴욕
だ,다,だいがく,대학
ダ,다,ダンス,"댄스, 춤"
びゅ,뷰,でびゅー,데뷔
デ,데,データ,데이터
ツ,츠,ツール,도구
トゥ,투,ツール,도구
ぶ,부,ぶた,돼지
ドゥ,두,デュエット,듀엣
ザ,자,デザイン,디자인
ディ,디,ディズニー,디즈니
ラ,라,ラジオ,라디오
レ,레,レストラン,레스토랑
ロ,로,ロボット,로봇
リ,리,リスト,리스트
ツェ,체,リッツェ,리체 (이름)
ろ,로,こころ,마음
マ,마,マイク,마이크
みゃ,먀,みゃく,맥박
ビ,비,ビール,맥주
べ,베,たべる,먹다
モ,모,メモ,메모
メ,메,メール,"메일, 이메일"
ぼ,보,ぼうし,모자
ツァ,차,モーツァルト,모차르트
こ,코,こえ,목소리
ム,무,ムード,"무드, 분위기"
ド,도,ドア,문
た,타,たこ,문어
ず,즈,みず,물
み,미,みず,물
ミュ,뮤,ミュージカル,뮤지컬
ミャ,먀,ミャンマー,미얀마
う,우,うみ,바다
ぜ,제,かぜ,바람
ヴァ,바,ヴァイオリン,바이올린
ズ,즈,ズボン,바지
ぎゃ,갸,ぎゃく,반대
ぴょ,표,はっぴょう,발표
よ,요,よる,밤
ご,고,ごはん,밥
へ,헤,へや,방
じゃ,쟈,じゃま,방해
ふ,후,ふね,배
リュ,류,リュックサック,배낭
ひゃ,햐,ひゃく,백 (100)
バ,바,バス,버스
む,무,むし,벌레
ら,라,さくら,벚꽃
ヴェ,베,ヴェール,베일
ほ,호,ほし,별
びょ,뵤,びょういん,병원
ヴ,부,ヴォーカル,보컬
も,모,もも,복숭아
ヴォ,보,ヴォルト,볼트 (전압)
る,루,はる,봄
ひ,히,ひ,불
ビュ,뷰,ビューティー,"뷰티, 아름다움"
ブ,부,ブルー,"블루, 파랑"
ヴィ,비,ヴィラ,빌라
ぱ,파,ぱん,빵
しょ,쇼,じしょ,사전
や,야,やま,산
ぽ,포,さんぽ,산책
びゃ,뱌,さんびゃく,삼백 (300)
と,토,とり,새
さ,사,さかな,생선
シ,시,シャワー,샤워
みょ,묘,みょうじ,성씨
せ,세,せかい,세계
シャ,샤,シャツ,셔츠
シェ,셰,シェフ,셰프
ぎゅ,규,ぎゅうにく,소고기
し,시,しお,소금
お,오,おと,소리
ソ,소,ソース,소스
て,테,て,손
きゃ,캬,きゃく,손님
ショ,쇼,ショッピング,쇼핑
じゅ,쥬,じゅぎょう,수업
プ,푸,プール,수영장
ス,스,スープ,수프
しゅ,슈,しゅくだい,숙제
シュ,슈,シュークリーム,슈크림
セ,세,セーター,스웨터
じ,지,じかん,시간
く,쿠,くつ,신발
にょ,뇨,にょうぼう,아내
ア,아,アイスクリーム,아이스크림
あ,아,あさ,아침
ちょ,쵸,ちょうしょく,아침식사
ペ,페,ペット,애완동물
ニャ,냐,ニャー,야옹 (고양이 소리)
ヒャ,햐,ヒャッホー,야호 (감탄사)
りゃ,랴,りゃくご,약어
ミョ,묘,ミョウガ,양하 (식물)
ど,도,どこ,어디
エ,에,エアコン,에어컨
な,나,なつ,여름
じょ,죠,じょせい,여성
え,에,えき,역
れ,레,れきし,역사
け,케,けむり,연기
ぴ,피,えんぴつ,연필
きょ,쿄,きょう,오늘
オ,오,オレンジ,오렌지
きゅ,큐,きゅうり,오이
ワ,와,ワイン,와인
ヨ,요,ヨーグルト,요구르트
りょ,료,りょうり,요리
りゅ,류,りゅう,용
か,카,かさ,우산
にゅ,뉴,ぎゅうにゅう,우유
