Gana,Kanji,Meaning,JP_Example_1,JP_Example_Pronunciation_1,JP_Example_Meaning_1,JP_Example_2,JP_Example_Pronunciation_2,JP_Example_Meaning_2
-いん,員,(사람)-원,彼は学校の教員として働いています。,かれは がっこうの きょういんとして はたらいています。,그는 학교 교원으로 일하고 있습니다.,私はこのクラブの会員です。,わたしはこのくらぶのかいいんです。,저는 이 클럽의 회원입니다
-えん,円,-엔,今月の電気代は5000円でした。,こんげつの でんきだいは 5000えんでした。,이번 달 전기요금은 5000엔이었습니다.,この本は千円です。,このほんはせんえんです。,이 책은 천 엔입니다
-かい,回,"~번, ~회",一日に三回運動しています。,いちにちに　さんかい　うんどう　しています。,하루에 세 번 운동합니다.,この本を三回読みました。,このほんをさんかいよみました。,이 책을 세 번 읽었습니다
-かい,階,~층,私の部屋は5階にあります。,わたしのへやはごかいにあります。,나의 방은 5층에 있습니다.,このビルは3階にレストランがあります。,このビルはさんがいにレストランがあります。,이 빌딩의 3층에 레스토랑이 있습니다
-かげつ,ヶ月,~개월,私は2ヶ月前から新しい仕事を始めました。,わたしは2ヶげつまえからあたらしいしごとをはじめました。,저는 2개월 전부터 새로운 일을 시작했습니다.,日本に来てから三ヶ月が経ちました。,にほんにきてからさんかげつがたちました。,일본에 와서 석 달이 지났습니다
-かた,方,~방법,優れたスポーツをするコツはいくつかあります。,すぐれた スポーツを する コツは いくつか あります。,좋은 스포츠를 하는 방법은 몇 가지가 있습니다.,この漢字の読み方を教えてください。,このかんじのよみかたをおしえてください,이 한자의 읽는 방법을 알려 주세요
-がつ,月,~월,5月はゴールデンウィークがあります。,５がつはごーるでんうぃーくがあります。,5월에는 골든 위크가 있습니다.,一月は寒いです。,いちがつはさむいです。,1월은 춥습니다
-がわ,側,~편,その川の右がわに橋がかかっています。,そのかわのみぎがわにはしがかかっています。,그 강의 오른편에 다리가 놓여 있습니다.,川側の部屋を予約しました。,かわがわのへやをよやくしました。,강가 쪽 방을 예약했습니다
-かん,間,~간,僕は30分間待った。,ぼくは30ふんかんまった。,나는 30분 동안 기다렸다.,会議のあいだ、彼は静かに待っていた。,かいぎのあいだ、かれはしずかにまっていた。,회의 중에 그는 조용히 기다리고 있었다
-かん,館,~관,私は美術館によく行きます。,わたしはびじゅつかんによくいきます。,나는 미술관에 자주 갑니다.,私は図書館で本を読みました。,わたしはとしょかんでほんをよみました。,나는 도서관에서 책을 읽었습니다
-くん,君,"~군, ~야",田中君、今日は授業をさぼらないでね。,たなかくん、きょうはじゅぎょうをサボらないでね。,"탄나카군, 오늘은 수업을 빼먹지 말아요.",たろうくんは元気です。,たろうくんはげんきです。,타로 군은 건강합니다
-ご,語,~어,参考までに、語句を十分にご理解ください。,さんこうまでに、ごくをじゅうぶんにごりかいください。,"참고를 위해, 어휘를 충분히 이해해 주시기 바랍니다.",日本語を勉強しています。,にほんごをべんきょうしています。,일본어를 공부하고 있습니다.
-こ,個,~개,彼は本を3冊買った。,かれは ほんを さんさつ かった。,그는 책 3권을 사셨다.,リンゴを三個ください。,りんごをさんこください。,사과를 세 개 주세요
-ごろ,,~ 무렵,夕方5時ごろに帰宅します。,ゆうがた ご じ ごろ に きたく します。,오후 5시쯤에 귀가합니다.,明日、5時ごろに家に着く予定です。,あした、5ときごろにいえにつくよていです。,내일은 5시쯤에 집에 도착할 예정입니다
-さ,,형용사의 명사형,彼女の優しさに心を打たれた。,かのじょの やさしさに こころを うたれた。,그녀의 친절함에 마음이 움직였다.,この数学のテストの難しさには驚いた。,このすうがくのテストのむずかしさにはおどろいた。,이 수학 시험의 난이도에 놀랐다
-さい,歳,~세,私は二十歳です。,わたしは にじゅっさい です。,나는 스무 살입니다.,私は二十歳です。,わたしははたちです。,내 나이는 스무 살입니다
-さつ,冊,~권,その本は５さつあります。,そのほんはごさつあります。,그 책은 5권 있습니다.,私は本を三冊買いました。,わたしはほんをさんさつかいました,저는 책을 세 권 샀습니다
-さん/さま,様,"~씨, ~님",はた子さんは先生です。。,はたこさんはせんせいです。,하타코씨는 선생님입니다.,田中さんにメールを送りました。,たなかさんにメールをおくりました。,다나카 씨에게 이메일을 보냈습니다
-じ,時,~시,私は7時に起きる習慣があります。,わたしはしちじにおきるしゅうかんがあります。,저는 7시에 일어나는 습관이 있습니다.,私は毎日3じに起きます。,わたしはまいにちさんじにおきます。,나는 매일 3시에 일어납니다
-しゅう,週,~주,今週の日曜日に会いましょう。,こんしゅうのにちようびにあいましょう。,이번 주 일요일에 만납시다.,今週は忙しいです。,こんしゅうは いそがしいです。,이번 주는 바쁩니다.
-じん/にん,人,"~인, ~명",私の家族は五人です。,わたしのかぞくはごにんです。,우리 가족은 5명입니다.,私は日本人です。,わたしはにほんじんです。,나는 일본인입니다
-せい,生,~생,新しい生命が芽生えた。,あらしい いのち が めばえた。,새로운 생명이 싹텄다.,彼は自分の人生をどう生きるべきかを考えている。,かれはじぶんのじんせいをどういきるべきかをかんがえている,그는 자신의 인생을 어떻게 살아가야 할지 고민하고 있다
-だい,台,~대,机の上に辞書が二台置いてあります。,つくえのうえにじしょがにだいおいてあります。,책상 위에 두 권의 사전이 있습니다.,車が三台あります。,くるまがさんだいあります。,차가 세 대 있습니다
-たち,,~들,私たちは毎日公園で遊びます。,わたしたちは まいにち こうえんで あそびます。,우리들은 매일 공원에서 놉니다.,子供たちは公園で遊んでいます。,こどもたちはこうえんであそんでいます。,아이들이 공원에서 놀고 있습니다
